unix_timestamp,6:*:* 29.66%,6:443:* 21.19%  [* 202.0.0.0/8] 47.58% [* 163.45.0.0/16] 20.52% ,6:80:* 19.24%  [* 163.45.0.0/16] 20.85% [17.242.176.0/20 *] 18.44% [* 163.45.64.0/18] 13.27% [203.190.176.0/20 *] 13.05% [* 202.0.0.0/8] 12.11% ,6:*:443 7.79%  [163.45.0.0/16 *] 30.53% [163.45.72.22 34.0.0.0/8] 26.63% [163.45.72.22 52.0.0.0/8] 23.41% [163.45.72.22 54.0.0.0/8] 14.65% ,17:443:* 4.38%  [* 163.45.0.0/17] 14.74% [* 163.45.0.0/16] 13.78% [74.115.0.0/17 163.45.0.0/16] 12.23% ,TOTAL
1512486000,10048060484,4781186244,7406031592,2900134163,3010532250,28145944733
1512486600,11318414841,4437365103,6404927799,3537613463,3449670650,29147991856
1512487200,8604728138,5706588274,4036248422,3574796363,4153805664,26076166861
1512487800,10933362441,3526414674,3302484181,3044907371,3996263867,24803432534
1512488400,8334597972,3938719463,3503907392,3891379408,3984006742,23652610977
1512489000,9050361175,4222969113,8644203474,3382342658,3965833962,29265710382
1512489600,8748921343,4387979554,5087501485,4074790787,3407601667,25706794836
1512490200,9730126012,3186586621,5105180303,4740042389,2472330907,25234266232
1512490800,9113190386,2260402972,10933608250,3708732487,2850527488,28866461583
1512491400,7789467983,2366185316,5862267308,4973404939,3496988680,24488314226
1512492000,8731909560,2354175635,2655583077,3744703673,2998898334,20485270279
1512492600,9379189698,1884295345,5114893231,3931960268,1504419739,21814758281
1512493200,9903524201,701588045,21820935081,3828134894,566727086,36820909307
1512493800,9127636877,886450818,11807690891,3249303817,972609140,26043691543
1512494400,9552916899,2070183702,18530107639,1969943801,1190660765,33313812806
1512495000,6271672706,2458645338,4160399617,3757286243,1762335408,18410339312
1512495600,7121166644,1135296593,12797176492,3595082019,1385161403,26033883151
1512496200,5489833253,1437819620,2932848916,4021892959,1069620706,14952015454
1512496800,5909450641,1160786917,7634836375,3174807984,1203288330,19083170247
1512497400,6387285187,808510351,4393934070,3323020771,1265008899,16177759278
1512498000,7074126450,2217310443,7050906773,3734557259,1186056401,21262957326
1512498600,5644982802,1569323448,3584531505,3664808967,1165378222,15629024944
1512499200,6199219595,1244949413,2840654491,3536138007,1113280229,14934241735
1512499800,5699276877,1651347860,1905732577,2890648695,903974147,13050980156
1512500400,6943439173,797592092,6334232751,4296083328,1332990772,19704338116
1512501000,5827609780,2334777644,2486086371,3595264592,1420151316,15663889703
1512501600,3876074568,1431609194,2620351320,4116739983,951670262,12996445327
1512502200,4631321644,917415398,2027558313,2903338549,1385870926,11865504830
1512502800,6116357448,422806679,16675362990,4470784887,1103855335,28789167339
1512503400,7928344782,382961574,11912590399,4346992268,525076718,25095965741
1512504000,5841878606,1254735427,4545229986,4138424624,360259698,16140528341
1512504600,5390929296,2105734691,1842269671,4554267378,539601847,14432802883
1512505200,4748583489,751682399,1593431465,1020208079,650347823,8764253255
1512505800,4376791093,743784283,1753845907,2716454915,720618957,10311495155
1512506400,5286579689,584232660,1401809946,3672465223,899103039,11844190557
1512507000,4624448762,695034882,3599506651,1899800611,533696377,11352487283
1512507600,5347560666,910772804,5713634864,2877467950,625145340,15474581624
1512508200,7322277129,580053744,7972699000,4230468726,464464607,20569963206
1512508800,6625410529,1178811289,9382350784,2816623368,576913604,20580109574
1512509400,6807377217,690130932,5825831804,3337919270,335397262,16996656485
1512510000,5562639777,4307904023,4051967840,2878056450,264250280,17064818370
1512510600,5053021230,21817927763,1535160647,2331557573,180746262,30918413475
1512511200,5386926586,1042006059,5452779421,4922605011,520806190,17325123267
1512511800,5693208458,1275104916,4946328400,4840239485,413488031,17168369290
1512512400,5363389665,3246245037,2617196303,4864308487,283782566,16374922058
1512513000,6016714550,1236450554,2169957201,3747516600,515663454,13686302359
1512513600,7449022447,711187702,7354354949,4360513572,442254487,20317333157
1512514200,6557049216,1416007822,7202863653,3954862014,681350691,19812133396
1512514800,7201964945,2039883760,7833681338,4092417179,221081199,21389028421
1512515400,8386041965,1823316524,6123480499,3824375378,932071382,21089285748
1512516000,7645561758,3698930424,7028463734,3288357688,653457517,22314771121
1512516600,7900150805,3468937370,5740508598,3475280499,1007599793,21592477065
1512517200,10129151549,4526523227,4992178007,4066364214,1160677746,24874894743
1512517800,11659641624,6194271052,8419707255,4884597079,680870988,31839087998
1512518400,10287590643,9311076341,11833295373,4268321576,762872694,36463156627
1512519000,13949289625,9441291827,6346779421,3728433576,1182857449,34648651898
1512519600,14474222386,7221854264,9005478299,3919374536,1260930661,35881860146
1512520200,17356573671,7723798819,15867975991,2618802606,955770099,44522921186
1512520800,20485090626,6491862342,9642631787,3752884044,1536576605,41909045404
1512521400,16519614609,8806500983,11407864968,3988940147,1622667669,42345588376
1512522000,19469309672,5607057825,10469339853,3811063402,8919150450,48275921202
1512522600,20380827491,7603072944,16974997684,2024719525,4844449972,51828067616
1512523200,15133232946,11455653311,18256239881,2584398347,1092530015,48522054500
1512523800,15907019871,15845749583,21904265495,2446113363,483447474,56586595786
1512524400,20271018014,15492328870,14246755174,4744282863,922731595,55677116516
1512525000,18623741301,18225596373,11892844462,3837317704,1135667624,53715167464
1512525600,24579075464,17081831548,12682469275,4030913029,1076337243,59450626559
1512526200,25801907061,20537194398,11021278271,1841172876,387298955,59588851561
1512526800,21742696876,20133834002,13654061819,4028426891,597093533,60156113121
1512527400,23917956219,17857980740,12193070270,4566731281,658022148,59193760658
1512528000,21447482836,23132888617,14942938830,1910761456,957126363,62391198102
1512528600,18553854902,18976186139,19549057870,1646755992,1422719843,60148574746
1512529200,20548456030,18174572862,12453659698,1561414506,2005116141,54743219237
1512529800,21129958311,20635631651,15285145949,935746650,1638125997,59624608558
1512530400,14792435583,28062988300,15321896740,1265829039,1774429374,61217579036
1512531000,13487930596,29677488543,16036737051,669863403,1807839577,61679859170
1512531600,15030234374,24836796335,18100462365,725602900,2368985944,61062081918
1512532200,23793290407,24301755481,12290728663,0,3047884950,63433659501
1512532800,27235697344,18862453403,13042288000,1474830028,2676122253,63291391028
1512533400,27986917163,20809965736,9261668770,3207158097,3191825965,64457535731
1512534000,22103765704,26185999664,11211359508,1634808015,2053877811,63189810702
1512534600,19583438014,29213479120,9323661355,1979464694,1509173567,61609216750
1512535200,19757288533,29424811994,9657529839,890580246,1657535985,61387746597
1512535800,20370550674,28260077978,10877207494,1729422714,1365910610,62603169470
1512536400,24032379965,22482866731,11239750475,2626510496,2322327471,62703835138
1512537000,25267417502,23615896405,10487292545,2488797289,1527565769,63386969510
1512537600,18435286628,30458716746,8141803843,2474247545,2732187052,62242241814
1512538200,19255465113,21076119193,7861218424,3064359058,1979400380,53236562168
1512538800,22171862859,21939115909,8984033615,4294281489,2004935735,59394229607
1512539400,24693119165,21875447251,9326291416,2437074823,2660016738,60991949393
1512540000,24931074033,24408378295,7920159030,2203961037,1930815095,61394387490
1512540600,26053960128,22304948570,7176558875,3505038969,1212599475,60253106017
1512541200,24428792901,20710346270,7184573044,2698339580,1234744080,56256795875
1512541800,27174791198,19788067127,7113574495,2689576007,1274772172,58040780999
1512542400,27304581306,17869203656,16823893085,1438094100,1573583248,65009355395
1512543000,23039765431,22072170434,12420699124,2935364670,1833455837,62301455496
1512543600,18654978754,24947399072,11614184043,3071990746,1796013886,60084566501
1512544200,24452883970,13149607416,9035021536,4724946538,2353341890,53715801350
1512544800,19353758125,13042968035,10100025524,4278224577,2567193337,49342169598
1512545400,17196261560,17325988310,7578285397,5273519940,2191515484,49565570691
1512546000,18050167360,15095413553,14540837860,2911433537,1269378523,51867230833
1512546600,19725717119,17713037309,11058305814,3289790149,910764133,52697614524
1512547200,16209953062,17236825872,10423045621,2782085425,1240073950,47891983930
1512547800,19149682518,9681597282,8962402560,4575032744,2386332740,44755047844
1512548400,15123543058,10783451291,6282789936,4650286500,1913951701,38754022486
1512549000,14868145091,11945640048,5285370191,4308069696,2054111390,38461336416
1512549600,16160031374,9865926435,21318447701,3047848897,1392816977,51785071384
1512550200,15894391898,9702268728,11143552296,4865521858,1587091989,43192826769
1512550800,15160688487,5730988681,8538101126,5116770835,1198387267,35744936396
1512551400,16373199881,8652941522,8155384437,4651506141,1523761342,39356793323
1512552000,15202867427,10006444484,10184659662,3809516742,1324917700,40528406015
1512552600,17123889473,9598472656,11318778290,5319492032,1729663814,45090296265
1512553200,15294810479,8967121579,8814160076,4512196068,2783182403,40371470605
1512553800,17083060875,9669824512,10545973115,4866486833,1931361041,44096706376
1512554400,14579205045,10664447439,11654155504,4671228969,2230937431,43799974388
1512555000,12798710847,11695329522,11753599943,4448537146,2612672372,43308849830
1512555600,14507754751,5776749886,8003588370,5322638896,2568417779,36179149682
1512556200,14679483739,4669644862,13309994049,4127238196,3204065272,39990426118
1512556800,15796764307,4470592707,7447545630,4298710647,3072503555,35086116846
1512557400,12501293663,6578942780,2928052284,4638388462,3399707955,30046385144
1512558000,13614150642,4833191513,5474639446,4374094364,3764183040,32060259005
1512558600,10962953925,7140710739,6625961549,4850292793,3656457608,33236376614
1512559200,11757056066,5173871764,15353126521,3935730807,3256150416,39475935574
1512559800,11289014216,5746832080,14314669209,4215552525,3920270430,39486338460
1512560400,12526867262,13337868459,9078610738,4093051332,3926910620,42963308411
1512561000,15074413206,7652626940,10689940186,3860107085,4138241316,41415328733
1512561600,11370521432,5427974468,4945495221,4380962285,4128062450,30253015856
1512562200,12623681471,7949509444,3349206465,4304831260,4270257272,32497485912
1512562800,12725301522,7127425557,5187387837,5363332271,2871105015,33274552202
1512563400,13666889854,6930011066,4041648072,4517009651,2877334147,32032892790
1512564000,14417734207,7690665769,4091311120,4025548400,3560021209,33785280705
1512564600,12718825558,9034886417,8359553786,3926540458,3938968318,37978774537
1512565200,12953542751,6247724008,11733086768,4230857405,4255061852,39420272784
1512565800,12287542829,7770583333,8975029108,4451249379,3842907132,37327311781
1512566400,12448835457,7425844162,5537891826,4164738939,3455230774,33032541158
1512567000,12245331846,6483997718,6287075849,3968716405,4229210906,33214332724
1512567600,10484647827,7594377527,6937829359,4415557691,3350696219,32783108623
1512568200,13926431853,7548202863,4017037772,4547887787,3298583816,33338144091
1512568800,11659513660,8969598784,7881392818,4993867846,3978218533,37482591641
1512569400,12477827631,9082136960,8488472448,3756122845,4213790164,38018350048
1512570000,12250072613,7737731603,5949298775,4764710842,4589486450,35291300283
1512570600,11912064206,9352839860,13263245898,4244308931,3310671571,42083130466
1512571200,13115705677,10903859664,8485563405,4317282775,3155960685,39978372206
1512571800,11252760194,11205970219,10551855416,4419600904,2650080339,40080267072
