unix_timestamp,6:*:* 28.32%  ,6:443:* 25.32%  [* 202.0.0.0/8] 38.83% [* 163.0.0.0/8] 25.66% [* 163.45.64.0/19] 15.96% ,6:80:* 14.36%  [203.0.0.0/8 *] 22.79% [17.242.180.48/29 163.45.0.0/16] 20.43% [* 163.45.0.0/17] 15.64% [17.242.184.0/22 *] 13.31% ,6:*:443 8.11%  [163.45.0.0/16 *] 32.08% [163.45.72.22 34.0.0.0/8] 27.60% [163.45.72.22 52.0.0.0/8] 23.06% [163.45.72.22 54.0.0.0/8] 13.80% ,17:443:* 4.56%  [74.115.0.0/16 163.45.0.0/16] 16.25% [* 163.45.92.0/22] 12.87% ,TOTAL
1512572400,9065267755,14243502120,7196693296,4250719217,3792167579,38548349967
1512573000,11744586469,10632644662,11390543223,4114450863,4833198136,42715423353
1512573600,11192289196,12034713284,8385058907,3925004913,4182713772,39719780072
1512574200,11391572469,10125057031,4929351205,4621147262,4129286492,35196414459
1512574800,11075452582,11412679856,7380888518,4366850625,2764952005,37000823586
1512575400,10543778010,11514665406,5107252926,4464195975,2830167880,34460060197
1512576000,11568681900,10380764238,8378688762,4897124803,2783438776,38008698479
1512576600,12114314684,9100146663,12953829637,4579282012,3115334236,41862907232
1512577200,10888380927,9098871754,7146022951,4625279557,2255837123,34014392312
1512577800,8253749504,8795830829,4467998359,4424992416,2189186806,28131757914
1512578400,8280979263,8289866616,4711339838,3734381057,1715311531,26731878305
1512579000,9908696570,4828466826,1866148100,4360566720,1288993200,22252871416
1512579600,8008956433,6322043168,5091688798,4227750216,1803268879,25453707494
1512580200,9715131149,3452925414,5160335187,4257490961,1604480161,24190362872
1512580800,9001059852,5552496957,2703563285,4345117834,1504032727,23106270655
1512581400,8360891625,4197483384,2596563106,4368521773,1812325236,21335785124
1512582000,7125952706,3155325230,1519728024,4668986126,1633430186,18103422272
1512582600,6606997092,5244099386,1704003840,4658259632,1432386333,19645746283
1512583200,7081836208,6716471423,4385353751,3919359496,1132847390,23235868268
1512583800,7728388375,5555793863,1510460168,4629404208,1506381429,20930428043
1512584400,8975911176,6378929562,11122517355,3933609276,869090883,31280058252
1512585000,8211182689,6441638262,8045356164,3910779190,996319596,27605275901
1512585600,9872730560,6808090887,10336450910,3277970847,1201053229,31496296433
1512586200,8035978957,6081643227,5410356829,4449392285,1114969462,25092340760
1512586800,8513205129,4754210187,15213837398,3415725768,150123594,32047102076
1512587400,5524185174,3489014940,6861903190,4310023678,462386441,20647513423
1512588000,4841135872,3568387089,1774233435,4602787131,557722818,15344266345
1512588600,4633364915,2843769273,1775837682,4578102121,617920102,14448994093
1512589200,7157277141,2907308729,1938544848,4850304432,939768071,17793203221
1512589800,5256263548,2606873278,1698388744,4805304090,683751006,15050580666
1512590400,8269392561,1498951422,2573949820,4818594778,799415039,17960303620
1512591000,5174480583,1420447934,2223428874,4649575567,902385793,14370318751
1512591600,5497038918,1672134481,1448711265,4579913658,660420179,13858218501
1512592200,5316404624,1323691271,2840816168,4806590747,654374214,14941877024
1512592800,5376217772,1776785331,1289674197,4814490793,600054638,13857222731
1512593400,4036045986,1764640927,1850750186,4824078799,571880380,13047396278
1512594000,3945103087,2310806116,4088793832,3966400671,453608152,14764711858
1512594600,6322210911,1919606190,4754897972,4287758424,462097695,17746571192
1512595200,6375219891,1584413679,3564758323,4477885716,624321516,16626599125
1512595800,6306829834,1848957669,2577204452,4684809078,864086246,16281887279
1512596400,4946668752,2044962598,2841773493,4474929060,723396987,15031730890
1512597000,5650926241,1167788789,3346792894,4736585261,663442916,15565536101
1512597600,4994942006,1119950664,4653609865,4495112367,784834851,16048449753
1512598200,5251847167,1285655439,4785551326,4354522713,680196532,16357773177
1512598800,4640714836,1859920671,2790472738,4851124819,654984926,14797217990
1512599400,4394764539,1586528783,3275969837,4665441177,732753621,14655457957
1512600000,7277045599,1610834639,4412775228,4480501625,1134450136,18915607227
1512600600,5433952476,4219539142,3104054001,4754722168,1726311462,19238579249
1512601200,6498073979,2028538058,3775050149,4774065107,1721273727,18797001020
1512601800,6893329267,4188654534,2049013751,4638914235,1247678850,19017590637
1512602400,8070443864,2548798622,4545898568,4438151810,1293183663,20896476527
1512603000,7946223104,3727073395,4786317562,4468940814,865438307,21793993182
1512603600,11870649367,3121543391,5523644222,4265036466,851028818,25631902264
1512604200,10455003196,7613781851,7565187345,4261319617,617903771,30513195780
1512604800,11778287360,5869710431,7789962078,4135492799,583902086,30157354754
1512605400,13615005576,8557626874,7904996852,3835225755,1199881750,35112736807
1512606000,13589192694,7577408096,5057787626,4359444321,1530214731,32114047468
1512606600,13404659956,9092931846,9417522868,3841095057,1736270904,37492480631
1512607200,15967117485,17088322242,5181807222,5037746279,1121472166,44396465394
1512607800,15217932513,16566364149,8908846495,4167088948,640734551,45500966656
1512608400,16811059216,15449933243,8709862685,3632172243,282376813,44885404200
1512609000,13324017397,15923975675,5747591769,5308766670,1294698007,41599049518
1512609600,15865082433,15128734290,7705021394,4405837036,1136985394,44241660547
1512610200,21518960991,16526941652,11135569171,3682462104,1224475149,54088409067
1512610800,20202892432,18109938997,5368423385,4949250940,2531882909,51162388663
1512611400,17711225856,21390037610,8711105370,3624007814,2215175316,53651551966
1512612000,15987879912,22717266627,12261467996,3228663531,1600887465,55796165531
1512612600,16817907318,24736744953,5779151274,3713062043,2565286322,53612151910
1512613200,12450541786,29665754616,14328976704,1261153913,2272758111,59979185130
1512613800,19081055930,27927361289,8451691963,2682195128,1678012424,59820316734
1512614400,23776372449,27040145128,4722546569,2726489300,2600339217,60865892663
1512615000,14917455671,31577215139,9682015411,2294310199,1120130114,59591126534
1512615600,16479454448,30189773328,9709158300,1412060316,1325372070,59115818462
1512616200,18939366396,27941212544,8749262319,2079722752,1072940748,58782504759
1512616800,19642274255,29686951099,10296617700,370137399,1212094447,61208074900
1512617400,17539576216,31971470691,11852372056,100753729,1198602897,62662775589
1512618000,19805565584,32918466132,7598062110,969138971,1293408652,62584641449
1512618600,25304522859,28454850885,5981805866,541206596,1767733667,62050119873
1512619200,23877524919,26351252302,8555873731,814628927,1966936657,61566216536
1512619800,22010074888,24870074546,10014745412,938197768,2391842080,60224934694
1512620400,21846608469,25796441997,10872136499,475451025,3275461668,62266099658
1512621000,24298715597,23487871514,11599696804,974743191,1976493138,62337520244
1512621600,21628822693,26281790087,8795177160,1785186496,2208878832,60699855268
1512622200,24306298705,26141637697,10523975189,560967203,1839485716,63372364510
1512622800,19647221076,27272767930,11082220248,1411609707,1909164419,61322983380
1512623400,26117895520,24069685409,7906484692,1676450974,1354971431,61125488026
1512624000,24981438544,26240450703,6660848202,1689324492,1452727326,61024789267
1512624600,24094260333,23893485063,7244516754,2169461444,1828310968,59230034562
1512625200,18523748060,21574367301,15383544811,1765914400,1888522906,59136097478
1512625800,20945919439,24505966523,10334248238,2118187804,1513247853,59417569857
1512626400,17814655945,25919016039,9795544784,1946593376,2144642996,57620453140
1512627000,18246152384,23419108215,15881569575,1590454948,2296032270,61433317392
1512627600,17945828628,23132018710,14839164636,1199209431,3205962384,60322183789
1512628200,14625916489,27802770458,10078723505,3121420580,2698376296,58327207328
1512628800,17637221675,23700134338,8887472802,3144312831,3480379136,56849520782
1512629400,17962506133,23745362511,7820037504,3608410750,1986120577,55122437475
1512630000,19322547623,20949912905,13229309725,2539200082,1808479453,57849449788
1512630600,21251308421,15990285194,9135231671,2934317085,1868307708,51179450079
1512631200,19051090408,14566250493,13874489471,3281502223,1728188260,52501520855
1512631800,20004109975,17355687479,9952000215,3186441631,2665893647,53164132947
1512632400,17951923837,20266454407,9457304103,2911683575,1931155617,52518521539
1512633000,16010263811,12424597147,10625533786,4311215981,1963355696,45334966421
1512633600,18531251944,13534417034,7821191251,5868406286,6002051029,51757317544
1512634200,18115055899,19959734480,8253991967,3239306765,9234743625,58802832736
1512634800,16465304858,16866477228,8612550907,3092795308,4997129600,50034257901
1512635400,19917834685,14369197353,8568932501,3867238452,8027725619,54750928610
1512636000,21378666004,14988527136,6564839430,3970931913,7868774342,54771738825
1512636600,17717075725,14693545011,8325016896,4628277843,2158188870,47522104345
1512637200,16017544842,13429732524,4493904147,5010297615,1246652519,40198131647
1512637800,19973639432,11108559383,4845412066,4961242859,3610260993,44499114733
1512638400,17084013914,8978251270,6734155528,6310547740,1358042941,40465011393
